botanist_id,botanist_name,email,phone
1,Kenneth Buckridge,kenneth.buckridge@lnhm.co.uk,763.914.8635 x57724
2,Ms. Diana King,ms..diana.king@lnhm.co.uk,673.641.8851
3,Eduardo Okuneva II,eduardo.okuneva.ii@lnhm.co.uk,408-816-2276 x87051
4,Wilson Welch,wilson.welch@lnhm.co.uk,(953) 607-4239 x328
5,Benny Block,benny.block@lnhm.co.uk,687-647-1094
6,Iris Jenkins,iris.jenkins@lnhm.co.uk,288.875.3012 x4682
7,Bradford Mitchell DVM,bradford.mitchell.dvm@lnhm.co.uk,(230) 859-2277 x3537
8,Jo Baumbach,jo.baumbach@lnhm.co.uk,976-364-3090
9,Terrance Leuschke,terrance.leuschke@lnhm.co.uk,1-661-425-6823 x4455
10,Chester Smith,chester.smith@lnhm.co.uk,1-730-711-3377 x08275
11,Kenneth Murphy,kenneth.murphy@lnhm.co.uk,(682) 358-8815 x08653
12,Irma Ortiz Jr.,irma.ortiz.jr.@lnhm.co.uk,(456) 348-3790 x868
13,Kathy Haley,kathy.haley@lnhm.co.uk,(514) 473-7641 x14748
14,Jacob Jacobi,jacob.jacobi@lnhm.co.uk,(459) 933-0647
15,Gordon Boehm,gordon.boehm@lnhm.co.uk,464.633.6597 x7370
16,Lucas Quitzon,lucas.quitzon@lnhm.co.uk,(400) 791-2051 x0032
17,Earnest Stanton,earnest.stanton@lnhm.co.uk,1-849-419-7923 x487
18,Helen Stracke,helen.stracke@lnhm.co.uk,1-219-392-5283
19,Bernice Schulist,bernice.schulist@lnhm.co.uk,516.311.7225
20,Oscar Schinner-Little,oscar.schinner-little@lnhm.co.uk,570-593-4399 x49703
21,Ms. Ashley Stracke,ms..ashley.stracke@lnhm.co.uk,1-666-690-3171 x152
22,Clifton Brekke,clifton.brekke@lnhm.co.uk,(889) 712-9685 x61463
23,Dr. Phillip Lind,dr..phillip.lind@lnhm.co.uk,(889) 896-3821
24,Dallas Terry,dallas.terry@lnhm.co.uk,489-414-1969 x514
25,Jacquelyn Quigley,jacquelyn.quigley@lnhm.co.uk,1-672-222-8133 x105
26,Wendy Swift,wendy.swift@lnhm.co.uk,(774) 986-4550 x796
27,Sadie Romaguera,sadie.romaguera@lnhm.co.uk,(415) 921-6221 x26702
28,Carolyn Jakubowski,carolyn.jakubowski@lnhm.co.uk,464.539.9779
29,Leroy Hudson,leroy.hudson@lnhm.co.uk,872-709-8943 x15830
30,Darrel Lesch,darrel.lesch@lnhm.co.uk,975-666-9644 x58578
31,Helen Waters,helen.waters@lnhm.co.uk,1-520-943-3657 x23140
32,Marty Lang,marty.lang@lnhm.co.uk,1-539-229-4058
33,Betty Kreiger,betty.kreiger@lnhm.co.uk,(430) 985-1362 x54710
34,Jorge Torp,jorge.torp@lnhm.co.uk,312.868.8819 x8410
35,Henrietta Gleichner,henrietta.gleichner@lnhm.co.uk,(879) 206-9116 x8935
36,Patricia Howell,patricia.howell@lnhm.co.uk,1-886-335-2758 x2333
37,Santiago Ortiz,santiago.ortiz@lnhm.co.uk,(770) 924-1572 x884
38,Lindsay Feest,lindsay.feest@lnhm.co.uk,(590) 404-7387 x7681
39,Sandra Pfeffer,sandra.pfeffer@lnhm.co.uk,1-944-604-9635 x77682
40,Darin Friesen-Stark MD,darin.friesen-stark.md@lnhm.co.uk,734-212-1797 x507
41,Kristin Lakin V,kristin.lakin.v@lnhm.co.uk,(903) 973-1504 x9409
42,Dr. Camille Kreiger,dr..camille.kreiger@lnhm.co.uk,1-288-382-3655 x5892
43,Nathan Kuhic,nathan.kuhic@lnhm.co.uk,(470) 586-3930 x591
44,Clinton Prohaska-Christiansen III,clinton.prohaska-christiansen.iii@lnhm.co.uk,1-957-526-2533 x4543
45,Vicky Leuschke,vicky.leuschke@lnhm.co.uk,(462) 735-6685 x8065
46,Bob Hartmann,bob.hartmann@lnhm.co.uk,408-747-3878 x32922
47,Dr. Jacob Glover,dr..jacob.glover@lnhm.co.uk,705-893-6693 x509
48,Peter Hartmann,peter.hartmann@lnhm.co.uk,(718) 765-2084 x0261
